ship_id,ship_name,itinerary_name,number_of_days,depart_from,start_day,rating,url
1271,AIDA MARIA,Itinerary A,8 days,Baltra Island Airport,Sunday,63.0,https://www.galapagosadvisor.com/ships/aida-maria/itineraries/itinerary-a/
1271,AIDA MARIA,Itinerary B,8 days,San Cristóbal Island Airport,Sunday,70.0,https://www.galapagosadvisor.com/ships/aida-maria/itineraries/itinerary-b/
1271,AIDA MARIA,Itinerary C,5 days,Baltra Island Airport,Sunday,64.0,https://www.galapagosadvisor.com/ships/aida-maria/itineraries/itinerary-c/
1271,AIDA MARIA,Itinerary D,4 days,Baltra Island Airport,Thursday,63.0,https://www.galapagosadvisor.com/ships/aida-maria/itineraries/itinerary-d/
1271,AIDA MARIA,Itinerary E,6 days,Baltra Island Airport,Thursday,64.0,https://www.galapagosadvisor.com/ships/aida-maria/itineraries/itinerary-e/
1271,AIDA MARIA,Itinerary F,6 days,Baltra Island Airport,Tuesday,71.0,https://www.galapagosadvisor.com/ships/aida-maria/itineraries/itinerary-f/
3223,ALYA,Itinerary A,8 days,San Cristóbal Island Airport,Tuesday,69.0,https://www.galapagosadvisor.com/ships/alya/itineraries/itinerary-a/
3223,ALYA,Itinerary A4,4 days,San Cristóbal Island Airport,Saturday,70.0,https://www.galapagosadvisor.com/ships/alya/itineraries/itinerary-a4/
3223,ALYA,Itinerary A5,5 days,Baltra Island Airport,Tuesday,67.0,https://www.galapagosadvisor.com/ships/alya/itineraries/itinerary-a5/
3223,ALYA,Itinerary B,8 days,Baltra Island Airport,Tuesday,66.0,https://www.galapagosadvisor.com/ships/alya/itineraries/itinerary-b/
1272,ANAHI,C (11 Days),Unknown,San Cristóbal Island Airport,Unknown,66.0,https://www.galapagosadvisor.com/ships/anahi/itineraries/c-11-days/
1272,ANAHI,D (12 DAYS),Unknown,Baltra Island Airport,Unknown,69.0,https://www.galapagosadvisor.com/ships/anahi/itineraries/d-12-days/
1272,ANAHI,E1 (15 DAYS),Unknown,Baltra Island Airport,Unknown,68.0,https://www.galapagosadvisor.com/ships/anahi/itineraries/e1-15-days/
1272,ANAHI,E2 (15 DAYS),Unknown,Baltra Island Airport,Unknown,67.0,https://www.galapagosadvisor.com/ships/anahi/itineraries/e2-15-days/
1272,ANAHI,E3 (15 DAYS),Unknown,San Cristóbal Island Airport,Unknown,68.0,https://www.galapagosadvisor.com/ships/anahi/itineraries/e3-15-days/
1272,ANAHI,Itinerary A1,4 days,San Cristóbal Island Airport,Tuesday,60.0,https://www.galapagosadvisor.com/ships/anahi/itineraries/itinerary-a1/
1272,ANAHI,Itinerary A2,5 days,Baltra Island Airport,Friday,70.0,https://www.galapagosadvisor.com/ships/anahi/itineraries/itinerary-a2/
1272,ANAHI,Itinerary B1 (West),8 days,Baltra Island Airport,Friday,69.0,https://www.galapagosadvisor.com/ships/anahi/itineraries/itinerary-b1-west/
1272,ANAHI,Itinerary B2 (East),8 days,Baltra Island Airport,Friday,66.0,https://www.galapagosadvisor.com/ships/anahi/itineraries/itinerary-b2-east/
1273,ANGELITO,Itinerary A,8 days,Baltra Island Airport,Sunday,73.0,https://www.galapagosadvisor.com/ships/angelito/itineraries/itinerary-a/
1273,ANGELITO,Itinerary A4,4 days,Baltra Island Airport,Thursday,76.0,https://www.galapagosadvisor.com/ships/angelito/itineraries/itinerary-a4/
1273,ANGELITO,Itinerary A5,5 days,Baltra Island Airport,Sunday,71.0,https://www.galapagosadvisor.com/ships/angelito/itineraries/itinerary-a5/
1273,ANGELITO,Itinerary B,8 days,Baltra Island Airport,Sunday,57.0,https://www.galapagosadvisor.com/ships/angelito/itineraries/itinerary-b/
3757,Aqua,A 8Days,8 days,Baltra Island Airport,Tuesday,75.0,https://www.galapagosadvisor.com/ships/aqua/itineraries/a-8days/
3757,Aqua,B 8Days,8 days,Baltra Island Airport,Tuesday,66.0,https://www.galapagosadvisor.com/ships/aqua/itineraries/b-8days/
3757,Aqua,C 4Days,4 days,Baltra Island Airport,Tuesday,67.0,https://www.galapagosadvisor.com/ships/aqua/itineraries/c-4days/
3757,Aqua,D 5Days,5 days,Baltra Island Airport,Friday,64.0,https://www.galapagosadvisor.com/ships/aqua/itineraries/d-5days/
1274,ARCHIPELL I,Itinerary A,8 days,San Cristóbal Island Airport,Monday,64.0,https://www.galapagosadvisor.com/ships/archipell-i/itineraries/itinerary-a/
1274,ARCHIPELL I,Itinerary A4,4 days,San Cristóbal Island Airport,Monday,64.0,https://www.galapagosadvisor.com/ships/archipell-i/itineraries/itinerary-a4/
1274,ARCHIPELL I,Itinerary A5,5 days,Baltra Island Airport,Thursday,66.0,https://www.galapagosadvisor.com/ships/archipell-i/itineraries/itinerary-a5/
1274,ARCHIPELL I,Itinerary B,8 days,Baltra Island Airport,Monday,67.0,https://www.galapagosadvisor.com/ships/archipell-i/itineraries/itinerary-b/
1274,ARCHIPELL I,Itinerary B4,4 days,Baltra Island Airport,Monday,71.0,https://www.galapagosadvisor.com/ships/archipell-i/itineraries/itinerary-b4/
1274,ARCHIPELL I,Itinerary B5,5 days,Baltra Island Airport,Thursday,64.0,https://www.galapagosadvisor.com/ships/archipell-i/itineraries/itinerary-b5/
1275,ARCHIPELL II,Itinerary A,8 days,San Cristóbal Island Airport,Monday,66.0,https://www.galapagosadvisor.com/ships/archipell-ii/itineraries/itinerary-a/
1275,ARCHIPELL II,Itinerary A1,5 days,San Cristóbal Island Airport,Monday,63.0,https://www.galapagosadvisor.com/ships/archipell-ii/itineraries/itinerary-a1/
1275,ARCHIPELL II,Itinerary A2,5 days,Baltra Island Airport,Thursday,66.0,https://www.galapagosadvisor.com/ships/archipell-ii/itineraries/itinerary-a2/
1275,ARCHIPELL II,Itinerary B,8 days,Baltra Island Airport,Monday,68.0,https://www.galapagosadvisor.com/ships/archipell-ii/itineraries/itinerary-b/
1275,ARCHIPELL II,Itinerary B1,5 days,Baltra Island Airport,Monday,69.0,https://www.galapagosadvisor.com/ships/archipell-ii/itineraries/itinerary-b1/
1275,ARCHIPELL II,Itinerary B2,5 days,Baltra Island Airport,Thursday,66.0,https://www.galapagosadvisor.com/ships/archipell-ii/itineraries/itinerary-b2/
1275,ARCHIPELL II,Itinerary C,8 days,Baltra Island Airport,Thursday,68.0,https://www.galapagosadvisor.com/ships/archipell-ii/itineraries/itinerary-c/
1275,ARCHIPELL II,Itinerary D,8 days,Baltra Island Airport,Monday,65.0,https://www.galapagosadvisor.com/ships/archipell-ii/itineraries/itinerary-d/
1606,BELUGA,Española,5 days,Baltra Island Airport,Friday,68.0,https://www.galapagosadvisor.com/ships/beluga/itineraries/española/
1606,BELUGA,Fernandina,8 days,Baltra Island Airport,Friday,66.0,https://www.galapagosadvisor.com/ships/beluga/itineraries/fernandina/
1606,BELUGA,Isabela,6 days,Baltra Island Airport,Sunday,73.0,https://www.galapagosadvisor.com/ships/beluga/itineraries/isabela/
1606,BELUGA,San Cristobal,6 days,San Cristóbal Island Airport,Sunday,70.0,https://www.galapagosadvisor.com/ships/beluga/itineraries/san-cristobal/
1606,BELUGA,Santiago,4 days,Baltra Island Airport,Tuesday,68.0,https://www.galapagosadvisor.com/ships/beluga/itineraries/santiago/
1606,BELUGA,Tower,8 days,Baltra Island Airport,Friday,68.0,https://www.galapagosadvisor.com/ships/beluga/itineraries/tower/
1607,Cachalote Explorer,Fernandina Itinerary,8 days,Baltra Island Airport,Wednesday,68.0,https://www.galapagosadvisor.com/ships/cachalote-explorer/itineraries/fernandina-itinerary/
1607,Cachalote Explorer,Tower Itinerary,8 days,Baltra Island Airport,Wednesday,66.0,https://www.galapagosadvisor.com/ships/cachalote-explorer/itineraries/tower-itinerary/
3794,Camila,A 8Days,8 days,Baltra Island Airport,Saturday,64.0,https://www.galapagosadvisor.com/ships/camila/itineraries/a-8days/
3794,Camila,B 8Days,8 days,San Cristóbal Island Airport,Saturday,70.0,https://www.galapagosadvisor.com/ships/camila/itineraries/b-8days/
3794,Camila,C 4Days,4 days,San Cristóbal Island Airport,Saturday,68.0,https://www.galapagosadvisor.com/ships/camila/itineraries/c-4days/
3794,Camila,D 5Days,5 days,Baltra Island Airport,Tuesday,71.0,https://www.galapagosadvisor.com/ships/camila/itineraries/d-5days/
1278,Carina,Itinerary A,8 days,Baltra Island Airport,Sunday,61.0,https://www.galapagosadvisor.com/ships/carina/itineraries/itinerary-a/
1278,Carina,Itinerary B,8 days,San Cristóbal Island Airport,Sunday,65.0,https://www.galapagosadvisor.com/ships/carina/itineraries/itinerary-b/
1583,Coral I,Itinerary B,5 days,Baltra Island Airport,Wednesday,68.0,https://www.galapagosadvisor.com/ships/coral-i/itineraries/itinerary-b/
1583,Coral I,Itinerary A,4 days,Baltra Island Airport,Sunday,59.0,https://www.galapagosadvisor.com/ships/coral-i/itineraries/itinerary-a/
1583,Coral I,Itinerary A + B,8 days,Baltra Island Airport,Sunday,64.0,https://www.galapagosadvisor.com/ships/coral-i/itineraries/itinerary-a-plus-b/
1583,Coral I,Itinerary C,4 days,Baltra Island Airport,Sunday,68.0,https://www.galapagosadvisor.com/ships/coral-i/itineraries/itinerary-c/
1583,Coral I,Itinerary C + D,8 days,Baltra Island Airport,Sunday,65.0,https://www.galapagosadvisor.com/ships/coral-i/itineraries/itinerary-c-plus-d/
1583,Coral I,Itinerary D,5 days,San Cristóbal Island Airport,Wednesday,62.0,https://www.galapagosadvisor.com/ships/coral-i/itineraries/itinerary-d/
1279,Coral II,Itinerary B,5 days,Baltra Island Airport,Wednesday,68.0,https://www.galapagosadvisor.com/ships/coral-ii/itineraries/itinerary-b/
1279,Coral II,Itinerary A,4 days,Baltra Island Airport,Sunday,59.0,https://www.galapagosadvisor.com/ships/coral-ii/itineraries/itinerary-a/
1279,Coral II,Itinerary A + B,8 days,Baltra Island Airport,Sunday,64.0,https://www.galapagosadvisor.com/ships/coral-ii/itineraries/itinerary-a-plus-b/
1279,Coral II,Itinerary C,4 days,Baltra Island Airport,Sunday,68.0,https://www.galapagosadvisor.com/ships/coral-ii/itineraries/itinerary-c/
1279,Coral II,Itinerary C + D,8 days,Baltra Island Airport,Sunday,65.0,https://www.galapagosadvisor.com/ships/coral-ii/itineraries/itinerary-c-plus-d/
1279,Coral II,Itinerary D,5 days,San Cristóbal Island Airport,Wednesday,62.0,https://www.galapagosadvisor.com/ships/coral-ii/itineraries/itinerary-d/
1280,Cormorant,Itinerary A,8 days,Baltra Island Airport,Saturday,64.0,https://www.galapagosadvisor.com/ships/cormorant/itineraries/itinerary-a/
1280,Cormorant,Itinerary A4,4 days,San Cristóbal Island Airport,Wednesday,62.0,https://www.galapagosadvisor.com/ships/cormorant/itineraries/itinerary-a4/
1280,Cormorant,Itinerary A5,5 days,Baltra Island Airport,Saturday,66.0,https://www.galapagosadvisor.com/ships/cormorant/itineraries/itinerary-a5/
1280,Cormorant,Itinerary B,8 days,Baltra Island Airport,Saturday,69.0,https://www.galapagosadvisor.com/ships/cormorant/itineraries/itinerary-b/
1282,Daphne,Itinerary A,8 days,Baltra Island Airport,Wednesday,64.0,https://www.galapagosadvisor.com/ships/daphne/itineraries/itinerary-a/
1282,Daphne,Itinerary B,8 days,Baltra Island Airport,Wednesday,67.0,https://www.galapagosadvisor.com/ships/daphne/itineraries/itinerary-b/
1282,Daphne,Itinerary B1,4 days,Baltra Island Airport,Wednesday,64.0,https://www.galapagosadvisor.com/ships/daphne/itineraries/itinerary-b1/
1282,Daphne,Itinerary B2,5 days,San Cristóbal Island Airport,Saturday,69.0,https://www.galapagosadvisor.com/ships/daphne/itineraries/itinerary-b2/
1283,Darwin,8A,8 days,Baltra Island Airport,Thursday,62.0,https://www.galapagosadvisor.com/ships/darwin/itineraries/8a/
1283,Darwin,8b,8 days,Baltra Island Airport,Thursday,65.0,https://www.galapagosadvisor.com/ships/darwin/itineraries/8b/
