ship_id,name,url,image_url,description,ship_class,year_built,year_refurbished,propulsion,hull_type,passenger_capacity,passenger_capacity_range,number_of_cabins,longest_bed_size_inches,minimum_age_for_children,childrens_discount,fuel_surcharge,num_itineraries,best_itinerary_rating,avg_itinerary_rating,internet_access,outdoor_dining,scuba_diving,kayaks_on_board,soap_and_shampoo_provided,hairdryers_provided,air_conditioning_controllable_in_cabin,wetsuits_free_of_charge,snorkel_gear_free_of_charge,has_jacuzzi_hot_tub,has_exercise_room_or_machines,has_medical_professional_onboard,has_glass_bottom_boat,has_dedicated_family_departures,accept_children_of_any_age,has_discounts_for_children,bunk_beds_only,interconnecting_cabins,triple_cabins,solo_passenger_cabins,cabins_with_private_balconies,beds_have_footboards,tall_person_friendly,reduced_mobility_friendly,solo_traveller_friendly,high_low_season_price,christmas_holiday_surcharge,member_of_local_industry_association
1271,AIDA MARIA,https://www.galapagosadvisor.com/ships/aida-maria/,https://www.galapagosadvisor.com/media/1004/aida-maria.jpg,"The sixteen passenger Aida Maria offers a great combination of comfort, style and economy for tours in the Galapagos. Each of the eight double cabins has a private bathroom with hot showers , air conditioning , an ample external deck to enjoy sunny Galapagos days. The M/Y Aida Maria started operating in the Galapagos islands in 1997 offering cruises around the islands as a charter yacht as well as for individual travellers.",Tourist Superior,1997,2014,Motor,Monohull,16,8 - 16,8,72,6,"20 % UP TO 12 YEARS , 0 MORE THAN 2 PER CUISE",$0.00,6,71.0,65.8,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,True
3223,ALYA,https://www.galapagosadvisor.com/ships/alya/,https://www.galapagosadvisor.com/media/1267/alya-ship.jpg,,Luxury,2017,0,Motor,Catamaran,16,8 - 16,9,72,6,Discount for children 10% (between 6 and 11 years old,,4,70.0,68.0,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,False
1272,ANAHI,https://www.galapagosadvisor.com/ships/anahi/,https://www.galapagosadvisor.com/media/1005/162-anahi-421-1.jpg,"The M/C Anahi catamaran launched in 2006 with high comfort standards. The accommodation for 16 guests is distributed amongst six 14m2 twin cabins on the main deck (2 transformable to double bed), and two 25m2 suites on the upper deck. Every cabin includes large windows looking to the ocean, beautiful wooden floor and cozy private facilities with hot/cold water shower, closet and air conditioning. Additionally, on the main deck, the yacht offers ample resting areas, library, dining room and lounge. On the upper deck, the yacht features a bar and an area for relaxation, together with a jacuzzi.",First Class,2006,2016,Motor,Catamaran,16,8 - 16,8,80,,20% for less than 12 years,$0.00,9,70.0,67.0,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,False,False,True,True,False,False,True,True,True,False,False,True
4226,Angel,https://www.galapagosadvisor.com/ships/angel/,https://www.galapagosadvisor.com/media/1403212/ship-angel.png,"After a period of design and assembly in the Netherlands, the Galapagos Angel is ready to explore the Enchanted Islands with outstanding itineraries and top-notch service. With two large suites and six convertible cabins, the yacht accommodations are comfortably designed for 16 passengers, who can enjoy breathtaking views through the panoramic windows and of sharing their day-to-day experiences with their loved ones by using our onboard WiFi service. Leave your trip in the hands of the crew members and our certified bilingual naturalist guides, who will show you the most outstanding places in the islands and make you live an unforgettable experience.",First Class,0,0,Motor,Monohull,16,8 - 16,8,,6,10% per child under 12 years old. One child per one adult,,0,,,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,True,True
1273,ANGELITO,https://www.galapagosadvisor.com/ships/angelito/,https://www.galapagosadvisor.com/media/1077/angelito-ship.jpg,"Completely rebuilt in 2013, the Angelito is considered as one of the best tourist-superior class ships in Galapagos. Cabins have twin or double beds, private bathrooms, hot / cold water. This sturdy ship will take you around Galapagos in comfort, without breaking the bank.",Tourist Superior,1992,2013,Motor,Monohull,16,8 - 16,8,78,,Children less than 12 years have a discount of 20%,$125,4,76.0,69.2,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False
3757,Aqua,https://www.galapagosadvisor.com/ships/aqua/,https://www.galapagosadvisor.com/media/1403143/aqua-yacht.jpg,"The Galapagos Aqua is the ideal boat for divers and adventure lovers of all ages! It offers a unique combination of both liveaboard diving safaris, including the best diving sites of the archipelago, as well as naturalist cruises for seeing what makes the islands themselves so special, something that should not be missed when visiting the Galapagos Islands",Tourist Superior,1998,2019,Motor,Monohull,16,8 - 16,9,1,,"Every 2 confirmed adults, 1 child has a 20% discount",,4,75.0,68.0,False,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False,True,True,True,False,True,False
1274,ARCHIPELL I,https://www.galapagosadvisor.com/ships/archipell-i/,https://www.galapagosadvisor.com/media/1006/archipell.jpeg,"Experience the Galapagos Islands the most comfort way you can imagine! Get on board of our First Class Catamaran and enjoy the cruise to the most beautiful places of the Islands. We are proud to offer special locations besides the normal cruise routes e.g. The Island Genovesa; This Island is known as Bird Island, because of the large and varied bird colonies which nest here. The crew is composed out of 7 members of the catamaran and one naturalist bilingual guide.",Tourist Superior,2002,2013,Motor,Catamaran,16,8 - 16,8,75,,20% discount per child for every 2 confirmed adults,$0.00,6,71.0,66.0,False,True,False,True,True,False,True,True,True,False,False,False,False,True,True,True,False,False,False,True,False,True,True,True,True,True,False,True
1275,ARCHIPELL II,https://www.galapagosadvisor.com/ships/archipell-ii/,https://www.galapagosadvisor.com/media/1079/archipeli-ii-ship.jpg,"Experience the Galapagos Islands the most comfort way you can imagine! Get on board of our First Class Catamaran and enjoy the cruise to the most beautiful places of the Islands. We are proud to offer special locations besides the normal cruise routes e.g. The Island Genovesa; This Island is known as Bird Island, because of the large and varied bird colonies which nest here. The crew is composed out of 7 members of the catamaran and one naturalist bilingual guide.",First Class,2002,2013,Motor,Catamaran,16,8 - 16,8,75,4,"Depending of the date, a 5% descount could be apply. 1 child less than 11 years.",$0.00,8,69.0,66.4,False,True,False,False,True,False,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,True
1606,BELUGA,https://www.galapagosadvisor.com/ships/beluga/,https://www.galapagosadvisor.com/media/1047/beluga-ship.jpg,,First Class,1968,2014,Motor,Monohull,16,8 - 16,8,75,,"50% less than 12 years, 1 child with 1 adult",$0.00,6,73.0,68.8,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,False,True,True,True
3813,Blue Spirit,https://www.galapagosadvisor.com/ships/blue-spirit/,https://www.galapagosadvisor.com/media/1403179/ydxydaphtgdibm.jpg,"Our Yacht offers diving itineraries at the Galapagos Islands with excellent service and a premium diving experience. All cabins are very cozy and comfortable, equipped with air conditioning, private bathroom, hot & cold water",First Class,2001,2019,Motor,Monohull,16,8 - 16,0,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
